"id","code","name","user_type_id:id","reconcile","chart_template_id:id","group_id:id"
"4100","4100","Sales Type D","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4101","4101","Sales Type E","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4200","4200","Sales of Assets","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4400","4400","Credit Charges (Late Payments)","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4900","4900","Miscellaneous Income","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4901","4901","Royalties Received","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4902","4902","Commissions Received","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4903","4903","Insurance Claims","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4904","4904","Rent Income","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"4905","4905","Distribution and Carriage","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_other_incomes"
"5000","5000","Materials Purchased","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5001","5001","Materials Imported","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5002","5002","Miscellaneous Purchases","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5003","5003","Packaging","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5009","5009","Discounts Taken","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5100","5100","Carriage","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5101","5101","Import Duty","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5102","5102","Transport Insurance","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5200","5200","Opening Stock","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"5201","5201","Closing Stock","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"6000","6000","Productive Labour","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"6001","6001","Cost of Sales Labour","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"6002","6002","Sub-Contractors","account.data_account_type_direct_costs","FALSE","l10n_mt","l10n_mt.account_group_cost_of_sales"
"6100","6100","Sales Commissions","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_sales_expenses"
"6200","6200","Sales Promotions","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_sales_expenses"
"6201","6201","Advertising","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_sales_expenses"
"6202","6202","Gifts and Samples","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_sales_expenses"
"6203","6203","P.R. (Literature & Brochures)","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_sales_expenses"
"6900","6900","Miscellaneous Expenses","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7000","7000","Gross Wages","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7001","7001","Directors Salaries","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7002","7002","Directors Remuneration","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7003","7003","Staff Salaries","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7004","7004","Wages - Regular","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7005","7005","Wages - Casual","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7006","7006","Employers N.I.","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7007","7007","Maternity Benefits","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7008","7008","Maternity fund - Refund received","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7009","7009","Staff training","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7010","7010","staff Health and Safety","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7011","7011","staff uniforms","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_staff_expenses"
"7100","7100","Rent","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7102","7102","Water Rates","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7103","7103","Cleaning","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7104","7104","Premises Insurance","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7200","7200","Electricity","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
"7201","7201","Gas","account.data_account_type_expenses","FALSE","l10n_mt","l10n_mt.account_group_operating_expenses"
